ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,540,2026-06-04T15:05:57.369000Z,542.631,2.631,0.830000,YES,0.830000,0.850000,0.80-0.90,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.150000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,600,2026-06-04T15:05:04.327000Z,595.673,4.327,0.680000,YES,0.680000,0.700000,0.60-0.70,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.300000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,660,2026-06-04T15:04:00.249000Z,659.751,0.249,0.595000,YES,0.595000,0.600000,0.50-0.60,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.400000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,720,2026-06-04T15:03:03.528000Z,716.472,3.528,0.375000,NO,0.625000,0.650000,0.60-0.70,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,0,-0.650000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,780,2026-06-04T15:01:57.380000Z,782.620,2.620,0.380500,NO,0.619500,0.621000,0.60-0.70,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,0,-0.621000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,840,2026-06-04T15:01:01.293000Z,838.707,1.293,0.565000,YES,0.565000,0.570000,0.50-0.60,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,1,0.430000
KXETH15M-26JUN041115-15,2026-06-04T15:15:00Z,2026-06-04,2026-06-04T11:15:00-04:00,2026-06-04,11,08-11,900,2026-06-04T15:00:18.891000Z,881.109,18.891,0.490000,NO,0.510000,0.530000,0.50-0.60,YES,yes,finalized,2026-06-04T15:15:08.146613Z,1.0000,1786.29,1772.39,1,0,-0.530000
KXETH15M-26JUN041130-30,2026-06-04T15:30:00Z,2026-06-04,2026-06-04T11:30:00-04:00,2026-06-04,11,08-11,60,2026-06-04T15:28:40.016000Z,79.984,19.984,0.001500,NO,0.998500,0.999000,0.90-1.00,NO,no,finalized,2026-06-04T15:30:08.145337Z,0.0000,1777.25,1786.29,1,1,0.001000
KXETH15M-26JUN041130-30,2026-06-04T15:30:00Z,2026-06-04,2026-06-04T11:30:00-04:00,2026-06-04,11,08-11,120,2026-06-04T15:27:59.686000Z,120.314,0.314,0.003500,NO,0.996500,0.999000,0.90-1.00,NO,no,finalized,2026-06-04T15:30:08.145337Z,0.0000,1777.25,1786.29,1,1,0.001000
KXETH15M-26JUN041130-30,2026-06-04T15:30:00Z,2026-06-04,2026-06-04T11:30:00-04:00,2026-06-04,11,08-11,180,2026-06-04T15:26:59.058000Z,180.942,0.942,0.009000,NO,0.991000,0.993000,0.90-1.00,NO,no,finalized,2026-06-04T15:30:08.145337Z,0.0000,1777.25,1786.29,1,1,0.007000
