scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-1.00,60,0.55-0.60,0.55,0.60,0.05,2,150,0.013333,2,0,1.000000,0.580000,0.420000,0.840000,0.005600,0.3363,0.473273,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.65,0.55,0.65,0.10,4,150,0.026667,2,2,0.500000,0.602500,-0.102500,-0.410000,-0.002733,0.82409656,0.084022,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.70,0.55,0.70,0.15,4,150,0.026667,2,2,0.500000,0.602500,-0.102500,-0.410000,-0.002733,0.82409656,0.084022,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.75,0.55,0.75,0.20,6,150,0.040000,4,2,0.666667,0.641667,0.025000,0.150000,0.001000,0.63078498816,0.200119,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.80,0.55,0.80,0.25,6,150,0.040000,4,2,0.666667,0.641667,0.025000,0.150000,0.001000,0.63078498816,0.200119,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.85,0.55,0.85,0.30,8,150,0.053333,6,2,0.750000,0.685000,0.065000,0.520000,0.003467,0.512202188906,0.290559,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.55-0.90,0.55,0.90,0.35,13,150,0.086667,10,3,0.769231,0.760769,0.008462,0.110000,0.000733,0.621948343594,0.206246,4,0,0.000000,-0.010696,0,0.000000,0
0.50-1.00,60,0.55-0.95,0.55,0.95,0.40,18,150,0.120000,14,4,0.777778,0.809556,-0.031778,-0.572000,-0.003813,0.761486036319,0.118338,10,0,0.000000,-0.010814,0,0.000000,0
0.50-1.00,60,0.55-1.00,0.55,1.00,0.45,147,150,0.980000,142,5,0.965986,0.972122,-0.006136,-0.902000,-0.006013,0.793064967635,0.100691,9,0,0.000000,-0.011347,0,0.000000,0
0.50-1.00,60,0.60-0.65,0.60,0.65,0.05,2,150,0.013333,0,2,0.000000,0.625000,-0.625000,-1.250000,-0.008333,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.60-0.70,0.60,0.70,0.10,2,150,0.013333,0,2,0.000000,0.625000,-0.625000,-1.250000,-0.008333,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.60-0.75,0.60,0.75,0.15,4,150,0.026667,2,2,0.500000,0.672500,-0.172500,-0.690000,-0.004600,0.89563096,0.047871,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.60-0.80,0.60,0.80,0.20,4,150,0.026667,2,2,0.500000,0.672500,-0.172500,-0.690000,-0.004600,0.89563096,0.047871,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.60-0.85,0.60,0.85,0.25,6,150,0.040000,4,2,0.666667,0.720000,-0.053333,-0.320000,-0.002133,0.78366850024,0.105868,0,0,0.000000,0.000000,0,0.000000,0
