scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-0.80,60,0.70-0.75,0.70,0.75,0.05,2,150,0.013333,2,0,1.000000,0.720000,0.280000,0.560000,0.003733,0.5183,0.285419,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.70-0.80,0.70,0.80,0.10,2,150,0.013333,2,0,1.000000,0.720000,0.280000,0.560000,0.003733,0.5183,0.285419,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.75-0.80,0.75,0.80,0.05,0,150,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.55,0.50,0.55,0.05,0,161,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.60,0.50,0.60,0.10,4,161,0.024845,2,2,0.500000,0.582500,-0.082500,-0.330000,-0.002050,0.8001936,0.096805,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.65,0.50,0.65,0.15,6,161,0.037267,3,3,0.500000,0.601667,-0.101667,-0.610000,-0.003789,0.8236048,0.084281,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.70,0.50,0.70,0.20,8,161,0.049689,4,4,0.500000,0.617500,-0.117500,-0.940000,-0.005839,0.853032751844,0.069034,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.75,0.50,0.75,0.25,11,161,0.068323,7,4,0.636364,0.646364,-0.010000,-0.110000,-0.000683,0.659639797315,0.180693,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.50-0.80,0.50,0.80,0.30,14,161,0.086957,9,5,0.642857,0.673571,-0.030714,-0.430000,-0.002671,0.711573705386,0.147780,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.55-0.60,0.55,0.60,0.05,4,161,0.024845,2,2,0.500000,0.582500,-0.082500,-0.330000,-0.002050,0.8001936,0.096805,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.55-0.65,0.55,0.65,0.10,6,161,0.037267,3,3,0.500000,0.601667,-0.101667,-0.610000,-0.003789,0.8236048,0.084281,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.55-0.70,0.55,0.70,0.15,8,161,0.049689,4,4,0.500000,0.617500,-0.117500,-0.940000,-0.005839,0.853032751844,0.069034,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.55-0.75,0.55,0.75,0.20,11,161,0.068323,7,4,0.636364,0.646364,-0.010000,-0.110000,-0.000683,0.659639797315,0.180693,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.55-0.80,0.55,0.80,0.25,14,161,0.086957,9,5,0.642857,0.673571,-0.030714,-0.430000,-0.002671,0.711573705386,0.147780,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,75,0.60-0.65,0.60,0.65,0.05,2,161,0.012422,1,1,0.500000,0.640000,-0.140000,-0.280000,-0.001739,0.8704,0.060281,0,0,0.000000,0.000000,0,0.000000,0
