sample,profit_margin,contracts_evaluated,model_signal_contracts,model_signal_rate,approved_trades,approved_trade_rate,approved_trade_rate_ci_low,approved_trade_rate_ci_high,expected_minutes_between_trades,minutes_between_trades_ci_low,minutes_between_trades_ci_high,divergent_trades,divergence_rate,divergence_rate_ci_low,divergence_rate_ci_high,expected_entry_price,entry_price_ci_low,entry_price_ci_high,expected_profit_per_traded_contract,profit_per_traded_contract_ci_low,profit_per_traded_contract_ci_high,expected_profit_per_15m_contract,profit_per_15m_contract_ci_low,profit_per_15m_contract_ci_high,total_profit,total_profit_ci_low,total_profit_ci_high
all,0.42,1158,991,0.8557858376511226,353,0.30483592400690845,0.27806563039723664,0.3316062176165803,49.20679886685553,45.234375,53.94409937888199,10,0.028328611898016998,0.011939410092395167,0.0469227353123588,0.48499799830028323,0.47557517537457494,0.49400373223742017,0.48667338980169966,0.4665662730632646,0.5051595756209446,0.14835553246977545,0.13420115674913646,0.16290367013277202,171.7957066,155.40493951550002,188.64245001375
all,0.43,1158,991,0.8557858376511226,342,0.29533678756476683,0.26856649395509496,0.3221070811744387,50.78947368421053,46.56836461126005,55.852090032154344,10,0.029239766081871343,0.012344729344729344,0.048485665278118095,0.48106133748538016,0.4715671688440366,0.4899755757064455,0.4896988964327485,0.4691153402728044,0.5087527302460858,0.1446260989464594,0.1303224686638601,0.15909166793566495,167.47702257999998,150.91341871275,184.22815146949998
all,0.44,1158,991,0.8557858376511226,318,0.27461139896373055,0.24870466321243523,0.3013816925734024,54.62264150943397,49.77077363896848,60.3125,10,0.031446540880503145,0.013377926421404682,0.05228758169934641,0.4738479863836478,0.464220766740962,0.4829733573884154,0.4947054727358491,0.4726330940787114,0.514996089837817,0.1358517619430052,0.12146633691278066,0.15028105473704662,157.31634033,140.658018145,174.0254613855
all,0.45,1158,991,0.8557858376511226,297,0.25647668393782386,0.231433506044905,0.2823834196891192,58.48484848484848,53.11926605504587,64.81343283582089,10,0.03367003367003367,0.014387199917485367,0.055944055944055944,0.4675944476430976,0.4574024834073843,0.4771465969925279,0.4987355186868687,0.47504977589119596,0.5203167327177589,0.12791403199481866,0.11406821619775476,0.14231199499309155,148.12444905,132.090994357,164.797290202
all,0.46,1158,991,0.8557858376511226,284,0.2452504317789292,0.22020725388601037,0.270293609671848,61.16197183098591,55.49520766773163,68.11764705882354,10,0.035211267605633804,0.014979875901391918,0.058636712013795673,0.46156940436619714,0.45104593807211324,0.471432225354978,0.503219328028169,0.47872962158063637,0.5259896007565169,0.12341475747841106,0.10939635888816925,0.13783788791321244,142.91428916,126.68098359249998,159.6162742035
all,0.47,1158,991,0.8557858376511226,265,0.22884283246977546,0.20466321243523317,0.2538860103626943,65.54716981132076,59.08163265306123,73.29113924050633,10,0.03773584905660377,0.01606425702811245,0.06274509803921569,0.4556791382264151,0.4449868238716193,0.46608539189899995,0.5065850127169811,0.4802389848354312,0.5309890827387669,0.1159283491968912,0.10219583700215891,0.13012980250885145,134.24502837,118.34277924850001,150.69031130525
all,0.48,1158,991,0.8557858376511226,228,0.19689119170984457,0.17443868739205526,0.22020725388601037,76.18421052631578,68.11764705882354,85.99009900990099,9,0.039473684210526314,0.016736401673640166,0.06666666666666667,0.44058056385964905,0.4283086856186766,0.45211130504056535,0.5199457519298246,0.4903670637874469,0.5466265728430354,0.10237273872193438,0.08903568058419689,0.11600037989961139,118.54763144,103.10331811649999,134.32843992374998
all,0.49,1158,991,0.8557858376511226,188,0.16234887737478412,0.14162348877374784,0.18393782383419688,92.39361702127658,81.54929577464789,105.91463414634147,8,0.0425531914893617,0.015789473684210527,0.07329842931937172,0.42223471553191494,0.40825153778393175,0.43511106098908253,0.5352120929787234,0.5025738041747309,0.56605035079297,0.08689108245250432,0.07440321007923142,0.09971946919645941,100.61987348,86.15891727174998,115.47514532949998
all,0.5,1158,991,0.8557858376511226,167,0.14421416234887738,0.1234887737478411,0.16493955094991364,104.01197604790418,90.94240837696336,121.46853146853147,8,0.04790419161676647,0.017857142857142856,0.08241758241758242,0.410006424491018,0.3954457554259671,0.4233502761657328,0.5420893838922156,0.5064115709605473,0.5761531388560087,0.0781769664162349,0.06604056076899827,0.09073159433506044,90.52892711000001,76.47496937049999,105.06718623999998
all,0.51,1158,991,0.8557858376511226,154,0.13298791018998274,0.11312607944732297,0.153713298791019,112.79220779220779,97.58426966292134,132.59541984732823,8,0.05194805194805195,0.01935483870967742,0.0902268692564745,0.40238392071428575,0.3868897198744193,0.41655361475114255,0.5456680273376623,0.5069771788992916,0.5821658154403104,0.07256725061312608,0.0606390463585924,0.08489619552353195,84.03287621,70.22001568325001,98.30979441625
