sample,threshold_2m,threshold_1m,profit_margin,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,mean_fee_adjusted_edge,mean_predicted_diverge_prob,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,trades_from_2m,trades_from_1m
calibration,0.005,0.235,0.18,232,215,92,0.39655172413793105,8,0.08695652173913043,0.6362089564130434,0.3637910435869565,0.06721911372215014,0.27683452184782603,0.10977920693965515,25.468776009999996,27.284617547562185,3,89
calibration,0.005,0.24,0.18,232,215,92,0.39655172413793105,8,0.08695652173913043,0.6362089564130434,0.3637910435869565,0.06721911372215014,0.27683452184782603,0.10977920693965515,25.468776009999996,27.284617547562185,3,89
calibration,0.005,0.245,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.25,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.255,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.26,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.265,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.27,0.18,232,216,93,0.40086206896551724,9,0.0967741935483871,0.637894376236559,0.3621056237634409,0.06912893720047217,0.26533143021505373,0.10636130607758619,24.675823009999995,27.246831850356088,3,90
calibration,0.005,0.275,0.18,232,217,94,0.4051724137931034,10,0.10638297872340426,0.6352025676595744,0.3647974323404256,0.07127801821775763,0.25841445361702126,0.10470240793103448,24.29095864,27.590824927530782,3,91
calibration,0.005,0.28,0.18,232,218,95,0.40948275862068967,10,0.10526315789473684,0.6370258248421051,0.36297417515789476,0.07347317552292852,0.25771101726315787,0.10552821827586205,24.482546639999995,27.50259496532179,3,92
calibration,0.005,0.285,0.18,232,218,95,0.40948275862068967,10,0.10526315789473684,0.6370258248421051,0.36297417515789476,0.07347317552292852,0.25771101726315787,0.10552821827586205,24.482546639999995,27.50259496532179,3,92
calibration,0.005,0.29,0.18,232,218,95,0.40948275862068967,10,0.10526315789473684,0.6370258248421051,0.36297417515789476,0.07347317552292852,0.25771101726315787,0.10552821827586205,24.482546639999995,27.50259496532179,3,92
calibration,0.005,0.295,0.18,232,220,97,0.41810344827586204,10,0.10309278350515463,0.6403265629896907,0.3596734370103093,0.07799031834004769,0.25658065350515463,0.10727725599137931,24.88832339,27.323262511015376,3,94
calibration,0.005,0.3,0.18,232,220,97,0.41810344827586204,10,0.10309278350515463,0.6403265629896907,0.3596734370103093,0.07799031834004769,0.25658065350515463,0.10727725599137931,24.88832339,27.323262511015376,3,94
calibration,0.01,0.0,0.18,232,14,10,0.04310344827586207,0,0.0,0.552305278,0.44769472200000004,0.004653487195868638,0.44769472200000004,0.01929718629310345,4.4769472200000004,4.430412348041314,10,0
calibration,0.01,0.005,0.18,232,21,11,0.04741379310344827,0,0.0,0.5626096963636363,0.4373903036363637,0.004596020290498242,0.4373903036363637,0.02073833336206897,4.811293340000001,4.76073711680452,10,1
