sample,floor_label,polymarket_price_floor,profit_margin,profit_margin_cents,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_polymarket_price,mean_all_in_cost,mean_fee_adjusted_edge,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high
calibration,none,0.0,0.35,35,232,205,124,0.5344827586206896,10,0.08064516129032258,0.4889516129032258,0.5163474941935484,0.48365250580645164,0.403007344516129,0.2154004772413793,49.97291072,53.57694915398477,50.248321836399995,42.89785585775,58.872212335499995,123.712,108.0,139.52499999999998
calibration,none,0.0,0.36,36,232,205,120,0.5172413793103449,10,0.08333333333333333,0.48408333333333337,0.5112946780833333,0.4887053219166667,0.4053719885833333,0.20967516650862067,48.644638629999996,52.512169731262915,48.70087991991999,39.62367203275,57.447180059249995,119.856,106.0,135.0
calibration,none,0.0,0.37,37,232,205,116,0.5,10,0.08620689655172414,0.4782068965517241,0.5065508554310345,0.4934491445689655,0.40724224801724135,0.20362112400862067,47.24010077,51.21147098753822,47.37237705946,38.32926097475,55.85422040725,115.7,102.0,131.0
calibration,none,0.0,0.38,38,232,205,115,0.4956896551724138,10,0.08695652173913043,0.47645217391304345,0.5041782944347826,0.4958217055652174,0.4088651838260869,0.2026702419827586,47.019496139999994,51.003323484915654,47.36011026744,38.69992368725,55.166075200749994,114.41,99.0,129.0
calibration,none,0.0,0.39,39,232,205,113,0.4870689655172414,10,0.08849557522123894,0.47373451327433624,0.5011270995575221,0.4988729004424779,0.4103773252212389,0.19988205926724137,46.372637749999996,50.478964407308915,46.71855671957999,38.284544284,54.6736874725,113.84,100.0,129.0
calibration,none,0.0,0.4,40,232,205,108,0.46551724137931033,10,0.09259259259259259,0.4680740740740741,0.49601620694444437,0.5039837930555556,0.41139120046296296,0.1915096967672414,44.43024965,48.703019624275186,44.30654680606,36.43830494575,53.408733276999996,107.87,94.0,122.52499999999998
calibration,none,0.0,0.41,41,232,205,106,0.45689655172413796,10,0.09433962264150944,0.46577358490566045,0.4920050262264151,0.5079949737735849,0.41365535113207547,0.18899770353448275,43.84746722,48.35576708499357,43.990471895380004,35.43158650875,51.645269548749994,106.324,91.0,120.0
calibration,none,0.0,0.42,42,232,205,103,0.44396551724137934,10,0.0970873786407767,0.46440776699029135,0.4882435593203882,0.5117564406796118,0.4146690620388349,0.18409876461206895,42.710913389999995,47.40075537248697,42.58450115278,34.8373021365,50.73295175849999,103.074,89.0,118.52499999999998
calibration,none,0.0,0.43,43,232,205,102,0.4396551724137931,10,0.09803921568627451,0.4630784313725491,0.48561384107843125,0.5143861589215687,0.4163469432352941,0.18304908711206894,42.467388209999996,47.18856601233741,42.143188849839994,32.643845835499995,50.376058328250004,101.62,88.0,117.0
calibration,none,0.0,0.44,44,232,205,96,0.41379310344827586,10,0.10416666666666667,0.4576458333333333,0.48054887947916675,0.5194511205208333,0.4152844538541666,0.1718418429741379,39.867307569999994,44.868773453146105,40.242988254740006,30.51427039875,48.841978554499995,95.46,82.0,110.0
calibration,none,0.0,0.45,45,232,205,91,0.3922413793103448,10,0.10989010989010989,0.45070329670329673,0.4739464995604396,0.5260535004395605,0.41616339054945056,0.1632365023275862,37.870868540000004,43.06200239659957,37.53898579148,28.92218782375,46.0349992885,90.68,76.0,105.0
calibration,none,0.0,0.46,46,232,205,84,0.3620689655172414,10,0.11904761904761904,0.44309523809523815,0.4663950285714285,0.5336049714285716,0.41455735238095237,0.15009835172413794,34.8228176,40.34371786112641,34.58819738006,26.48909912625,43.21913515925,84.262,69.0,99.0
calibration,none,0.0,0.47,47,232,205,79,0.34051724137931033,10,0.12658227848101267,0.43860759493670887,0.4617171034177216,0.5382828965822786,0.41170061810126585,0.14019115875000002,32.52434883,38.294838729499034,32.7245163719,24.08134500825,40.678876399749996,79.186,66.0,92.0
calibration,none,0.0,0.48,48,232,205,70,0.3017241379310345,10,0.14285714285714285,0.4288571428571428,0.45291845285714283,0.5470815471428572,0.4042244042857143,0.1219642599137931,28.2957083,34.63075060224298,28.45872096962,20.2216848405,37.12587647075,69.998,56.0,84.0
calibration,none,0.0,0.49,49,232,205,56,0.2413793103448276,8,0.14285714285714285,0.40446428571428567,0.42970418196428567,0.5702958180357143,0.4274386751785714,0.10317485262931035,23.93656581,29.025432674112793,24.024081072819996,16.6066403985,31.3442125995,56.234,44.0,70.0
calibration,none,0.0,0.5,50,232,205,50,0.21551724137931033,8,0.16,0.39019999999999994,0.41603128540000006,0.5839687146000001,0.4239687146,0.09137256780172413,21.19843573,26.514104229464593,21.006557753339997,13.727899226249999,28.150214948999995,49.812,38.0,63.0
calibration,none,0.0,0.51,51,232,205,43,0.1853448275862069,8,0.18604651162790697,0.37558139534883717,0.40311352279069773,0.5968864772093023,0.4108399655813953,0.07614706258620689,17.666118519999998,23.254834919265033,17.37093114066,10.77651477825,24.957286690999993,42.792,32.0,54.0
calibration,none,0.0,0.52,52,232,205,40,0.1724137931034483,8,0.2,0.36724999999999997,0.39492623725,0.60507376275,0.40507376275,0.06984030392241379,16.20295051,21.93457240316012,16.09403347156,9.686717028999999,23.671624250749996,39.814,30.0,50.52499999999998
calibration,none,0.0,0.53,53,232,205,38,0.16379310344827586,8,0.21052631578947367,0.3568421052631579,0.3882098318421052,0.6117901681578947,0.40126385236842105,0.06572425168103448,15.24802639,21.11783218685239,15.26776203012,8.7536503485,21.97161985175,38.104,28.0,49.0
calibration,none,0.0,0.54,54,232,205,36,0.15517241379310345,7,0.19444444444444445,0.35055555555555556,0.3827021322222222,0.6172978677777778,0.42285342333333326,0.06561518637931033,15.222723239999997,20.22029190755026,15.306305367359998,9.058622180250001,22.849786046249996,35.852,26.0,46.0
calibration,none,0.0,0.55,55,232,205,34,0.14655172413793102,7,0.20588235294117646,0.3452941176470588,0.37851256205882355,0.6214874379411764,0.415605085,0.06090764176724138,14.13057289,19.242530859605836,13.999716744679999,8.496945846500001,20.0033466885,34.372,24.0,45.52499999999998
calibration,none,0.0,0.56,56,232,205,32,0.13793103448275862,7,0.21875,0.34125000000000005,0.374355538125,0.625644461875,0.40689446187499995,0.05612337405172413,13.020622779999998,18.18619206921965,13.09712498994,7.679343459,19.0861322765,31.782,22.0,43.0
calibration,none,0.0,0.57,57,232,205,30,0.12931034482758622,7,0.23333333333333334,0.3320000000000001,0.36511529699999995,0.6348847029999999,0.40155136966666666,0.05192474607758621,12.04654109,17.351442548958065,12.13226162352,6.3009200412499995,17.7749103415,29.786,21.0,40.0
calibration,none,0.0,0.58,58,232,205,27,0.11637931034482758,7,0.25925925925925924,0.31259259259259264,0.34641850074074076,0.6535814992592592,0.39432224,0.04589095034482758,10.64670048,16.058021695296038,10.55058002882,5.05375488925,16.4201564265,26.84,18.0,36.0
calibration,none,0.0,0.59,59,232,205,25,0.10775862068965517,7,0.28,0.2916,0.32378999480000004,0.6762100052000001,0.39621000520000005,0.042695043663793106,9.90525013,15.435177190204387,9.689117128440001,3.84723955325,16.0134284405,24.786,16.0,34.0
