open_time_ts,open_time_utc,open,high,low,close,volume,close_time_ts,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,binance_direction
1778238000,2026-05-08T11:00:00+00:00,80212.55,80340.94000000,80182.71000000,80227.97,253.86045000,1778238899,2026-05-08T11:14:59+00:00,20370987.56644290,32428,127.20799000,10208143.33651220,Up
1778238900,2026-05-08T11:15:00+00:00,80227.98,80319.98000000,80183.94000000,80300.0,95.10329000,1778239799,2026-05-08T11:29:59+00:00,7631675.97643020,19601,59.40841000,4767198.73742350,Up
1778239800,2026-05-08T11:30:00+00:00,80300.0,80327.87000000,80127.54000000,80141.08,83.71790000,1778240699,2026-05-08T11:44:59+00:00,6717508.71645540,15133,35.50515000,2849294.30195210,Down
1778240700,2026-05-08T11:45:00+00:00,80141.09,80280.15000000,80141.09000000,80231.22,154.30088000,1778241599,2026-05-08T11:59:59+00:00,12378827.19917150,16043,114.70732000,9202275.59858600,Up
1778241600,2026-05-08T12:00:00+00:00,80231.22,80309.50000000,80140.98000000,80267.99,78.98131000,1778242499,2026-05-08T12:14:59+00:00,6337062.00998300,21313,40.26333000,3230600.91216950,Up
1778242500,2026-05-08T12:15:00+00:00,80268.0,80327.50000000,80248.95000000,80318.38,133.18306000,1778243399,2026-05-08T12:29:59+00:00,10693547.01546950,16133,87.55560000,7030064.61225020,Up
1778243400,2026-05-08T12:30:00+00:00,80318.38,80500.00000000,80185.15000000,80225.3,340.81332000,1778244299,2026-05-08T12:44:59+00:00,27372894.11314590,38004,178.28175000,14321394.97158630,Down
1778244300,2026-05-08T12:45:00+00:00,80225.3,80225.30000000,79966.14000000,80025.82,278.56570000,1778245199,2026-05-08T12:59:59+00:00,22312633.00168600,32684,126.56640000,10139266.51755430,Down
1778245200,2026-05-08T13:00:00+00:00,80025.81,80095.99000000,79654.84000000,79692.86,303.60519000,1778246099,2026-05-08T13:14:59+00:00,24257477.01729570,45939,103.34921000,8260310.85193090,Down
1778246100,2026-05-08T13:15:00+00:00,79692.87,79815.94000000,79607.93000000,79612.52,178.53361000,1778246999,2026-05-08T13:29:59+00:00,14234669.94576910,35781,75.31346000,6004193.80064210,Down
1778247000,2026-05-08T13:30:00+00:00,79612.52,79826.88000000,79573.45000000,79595.75,359.52575000,1778247899,2026-05-08T13:44:59+00:00,28649834.29235460,61014,206.16793000,16434123.83652770,Down
1778247900,2026-05-08T13:45:00+00:00,79595.76,79676.00000000,79549.54000000,79647.8,249.91887000,1778248799,2026-05-08T13:59:59+00:00,19896307.57580650,44256,131.38343000,10459630.42728340,Up
1778248800,2026-05-08T14:00:00+00:00,79647.81,79990.00000000,79647.80000000,79927.33,209.28066000,1778249699,2026-05-08T14:14:59+00:00,16707565.17723330,56244,120.12871000,9588603.03606230,Up
1778249700,2026-05-08T14:15:00+00:00,79927.33,80441.79000000,79897.40000000,80072.76,396.07978000,1778250599,2026-05-08T14:29:59+00:00,31776982.44648240,77573,239.03977000,19172284.79590540,Up
1778250600,2026-05-08T14:30:00+00:00,80072.75,80275.84000000,79798.37000000,80222.49,265.67856000,1778251499,2026-05-08T14:44:59+00:00,21282054.10817790,68019,148.48057000,11894353.09093920,Up
1778251500,2026-05-08T14:45:00+00:00,80222.5,80300.00000000,80084.91000000,80150.97,134.33550000,1778252399,2026-05-08T14:59:59+00:00,10772681.94071900,30516,52.00509000,4169918.60731420,Down
1778252400,2026-05-08T15:00:00+00:00,80150.97,80200.00000000,79870.23000000,79897.49,163.86267000,1778253299,2026-05-08T15:14:59+00:00,13108783.52151540,41071,69.92224000,5594549.06605780,Down
1778253300,2026-05-08T15:15:00+00:00,79897.49,79918.15000000,79627.26000000,79713.36,182.08017000,1778254199,2026-05-08T15:29:59+00:00,14521993.06656900,49768,88.24904000,7039250.51869370,Down
1778254200,2026-05-08T15:30:00+00:00,79713.72,80040.78000000,79625.00000000,79966.14,182.43066000,1778255099,2026-05-08T15:44:59+00:00,14566504.90072030,40278,125.47161000,10020508.32261430,Up
1778255100,2026-05-08T15:45:00+00:00,79966.15,80197.65000000,79958.41000000,80142.14,284.52682000,1778255999,2026-05-08T15:59:59+00:00,22790695.82668670,38711,172.92990000,13850055.87560990,Up
1778256000,2026-05-08T16:00:00+00:00,80142.13,80182.18000000,79965.75000000,79965.76,232.38387000,1778256899,2026-05-08T16:14:59+00:00,18602134.78435340,36103,118.72773000,9503116.08894920,Down
1778256900,2026-05-08T16:15:00+00:00,79965.75,80047.00000000,79919.05000000,79950.0,124.03802000,1778257799,2026-05-08T16:29:59+00:00,9919833.42061300,22982,72.04461000,5761631.24041070,Down
1778257800,2026-05-08T16:30:00+00:00,79950.0,79950.01000000,79741.30000000,79790.0,189.37836000,1778258699,2026-05-08T16:44:59+00:00,15116161.85506900,34284,77.09377000,6153043.22425870,Down
1778258700,2026-05-08T16:45:00+00:00,79790.01,79875.94000000,79766.58000000,79802.34,119.96275000,1778259599,2026-05-08T16:59:59+00:00,9574262.16804090,23245,77.91977000,6218714.77194380,Up
1778259600,2026-05-08T17:00:00+00:00,79802.35,79955.79000000,79738.75000000,79862.0,117.01306000,1778260499,2026-05-08T17:14:59+00:00,9343959.69095870,30537,69.81581000,5575522.39985500,Up
