feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.102565,0.10256504703276859,223,2385,11925,1388,0.08550613496932516,0.8957410050326748,0.981247140002
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.158773,0.15877297899438014,352,2256,11262,2051,0.13496932515337423,0.8459400585893487,0.980909383742723
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.21298,0.21297976633371707,475,2133,10595,2718,0.1821319018404908,0.7958386539472696,0.9779705557877604
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.272408,0.2724084064487582,599,2009,9928,3385,0.22967791411042945,0.7457372493051904,0.9754151634156198
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.326979,0.32697936313134146,726,1882,9265,4048,0.27837423312883436,0.6959363028618644,0.9743105359906987
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.38056,0.3805601668820694,846,1762,8593,4720,0.3243865030674847,0.6454593254713438,0.9698458285388285
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.431427,0.4314272478359822,959,1649,7916,5397,0.3677147239263804,0.5946067753323819,0.9623214992587623
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.480589,0.48058890901613993,1067,1541,7232,6081,0.40912576687116564,0.5432284233456021,0.9523541902167677
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.52776,0.527759532323471,1186,1422,6561,6752,0.45475460122699385,0.49282656050476975,0.9475811617317635
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.576562,0.5765621696513317,1312,1296,5896,7417,0.5030674846625767,0.44287538496206713,0.9459428696246438
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.624902,0.6249021569091666,1438,1170,5229,8084,0.5513803680981595,0.392773980319988,0.9441543484181475
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.676572,0.6765720179198762,1581,1027,4573,8740,0.6062116564417178,0.3434988357244798,0.9497104921661976
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.722847,0.72284724958481,1705,903,3901,9412,0.6537576687116564,0.2930218583339593,0.9467795270456156
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.770799,0.770799009224079,1852,756,3256,10057,0.7101226993865031,0.24457297378502216,0.9546956731715253
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.816053,0.8160530359394811,1991,617,2601,10712,0.763420245398773,0.19537294373920228,0.9587931891379753
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.86359,0.863590002524615,2150,458,1969,11344,0.8243865030674846,0.14790054833621272,0.9722870514036973
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.912069,0.9120686370106362,2316,292,1336,11977,0.8880368098159509,0.10035303838353489,0.9883898481994858
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.956948,0.9569476199480841,2464,144,677,12636,0.9447852760736196,0.050852550138961915,0.9956378262125816
fraction_of_window_elapsed,fraction_of_window_elapsed <= 1,1.0,2608,0,0,13313,1.0,0.0,1.0
kalshi_spread,kalshi_spread <= 0.001,0.0009999999999998899,0,2608,13312,1,0.0,0.9999248854503118,0.9999248854503118
kalshi_spread,kalshi_spread <= 0.001,0.0010000000000000009,99,2509,12253,1060,0.037960122699386506,0.9203785773304289,0.9583387000298155
kalshi_spread,kalshi_spread <= 0.002,0.0020000000000000018,127,2481,11817,1496,0.04869631901840491,0.8876286336663411,0.936324952684746
kalshi_spread,kalshi_spread <= 0.003,0.003000000000000001,130,2478,11630,1683,0.04984662576687116,0.8735822128746338,0.9234288386415049
kalshi_spread,kalshi_spread <= 0.004,0.004,168,2440,11150,2163,0.06441717791411043,0.837527229024262,0.9019444069383724
kalshi_spread,kalshi_spread <= 0.005,0.005,193,2415,10785,2528,0.07400306748466258,0.8101104183880418,0.8841134858727043
kalshi_spread,kalshi_spread <= 0.006,0.005999999999999999,212,2396,10432,2881,0.08128834355828221,0.7835949823480808,0.864883325906363
kalshi_spread,kalshi_spread <= 0.007,0.006999999999999999,236,2372,10089,3224,0.09049079754601227,0.7578306918050026,0.8483214893510149
kalshi_spread,kalshi_spread <= 0.008,0.007999999999999997,250,2358,9910,3403,0.09585889570552147,0.7443851874108015,0.8402440831163229
kalshi_spread,kalshi_spread <= 0.009,0.008999999999999897,263,2345,9769,3544,0.10084355828220859,0.7337940359047548,0.8346375941869634
kalshi_spread,kalshi_spread <= 0.01,0.009999999999999898,309,2299,9386,3927,0.11848159509202454,0.7050251633741456,0.82350675846617
kalshi_spread,kalshi_spread <= 0.01,0.010000000000000009,2232,376,1883,11430,0.8558282208588958,0.14144069706302112,0.9972689179219169
kalshi_spread,kalshi_spread <= 0.011,0.01100000000000001,2246,362,1797,11516,0.8611963190184049,0.1349808457898295,0.9961771648082344
kalshi_spread,kalshi_spread <= 0.013,0.0129999999999999,2254,354,1736,11577,0.8642638036809815,0.13039885825884473,0.9946626619398262
kalshi_spread,kalshi_spread <= 0.014,0.013999999999999999,2260,348,1703,11610,0.8665644171779141,0.12792007811913167,0.9944844952970457
kalshi_spread,kalshi_spread <= 0.015,0.015000000000000013,2262,346,1681,11632,0.8673312883435583,0.12626755802598963,0.993598846369548
kalshi_spread,kalshi_spread <= 0.018,0.018000000000000002,2267,341,1659,11654,0.8692484662576687,0.12461503793284759,0.9938635041905163
kalshi_spread,kalshi_spread <= 0.02,0.02,2383,225,1365,11948,0.9137269938650306,0.10253136032449485,1.0162583541895256
kalshi_spread,kalshi_spread <= 0.024,0.024,2553,55,660,12653,0.9789110429447853,0.04957560279426125,1.0284866457390465
kalshi_spread,kalshi_spread <= 0.04,0.03999999999999998,2575,33,611,12702,0.9873466257668712,0.045894989859535794,1.033241615626407
kalshi_spread,kalshi_spread <= 0.06,0.06,2584,24,609,12704,0.99079754601227,0.045744760760159243,1.0365423067724293
polymarket_spread,polymarket_spread <= -0.71,-0.71,0,2608,13310,3,0.0,0.9997746563509352,0.9997746563509352
polymarket_spread,polymarket_spread <= -0.54,-0.54,2,2606,13213,100,0.0007668711656441718,0.9924885450311726,0.9932554161968168
polymarket_spread,polymarket_spread <= -0.41,-0.41,23,2585,13083,230,0.008819018404907975,0.9827236535716969,0.9915426719766048
polymarket_spread,polymarket_spread <= -0.29,-0.29,23,2585,12910,403,0.008819018404907975,0.9697288364756254,0.9785478548805333
polymarket_spread,polymarket_spread <= -0.24,-0.24,23,2585,12860,453,0.008819018404907975,0.9659731089912116,0.9747921273961195
polymarket_spread,polymarket_spread <= -0.16,-0.16,23,2585,12691,622,0.008819018404907975,0.9532787500938932,0.9620977684988011
polymarket_spread,polymarket_spread <= -0.09,-0.09000000000000001,26,2582,12605,708,0.009969325153374233,0.9468188988207016,0.9567882239740758
polymarket_spread,polymarket_spread <= -0.04,-0.040000000000000036,26,2582,12434,879,0.009969325153374233,0.9339743108240066,0.9439436359773808
polymarket_spread,polymarket_spread <= 0.001,0.0009999999999999992,26,2582,12276,1037,0.009969325153374233,0.9221062119732593,0.9320755371266335
polymarket_spread,polymarket_spread <= 0.003,0.003,26,2582,12149,1164,0.009969325153374233,0.9125666641628484,0.9225359893162226
polymarket_spread,polymarket_spread <= 0.005,0.0050000000000000044,26,2582,12109,1204,0.009969325153374233,0.9095620821753173,0.9195314073286915
polymarket_spread,polymarket_spread <= 0.008,0.008000000000000007,26,2582,12081,1232,0.009969325153374233,0.9074588747840456,0.9174281999374199
polymarket_spread,polymarket_spread <= 0.01,0.009999999999999998,393,2215,9787,3526,0.15069018404907975,0.7351460977991437,0.8858362818482235
polymarket_spread,polymarket_spread <= 0.02,0.01999999999999999,2416,192,513,12800,0.9263803680981595,0.03853376399008488,0.9649141320882444
polymarket_spread,polymarket_spread <= 0.03,0.03,2510,98,177,13136,0.9624233128834356,0.013295275294824608,0.9757185881782603
polymarket_spread,polymarket_spread <= 0.04,0.04000000000000001,2551,57,86,13227,0.9781441717791411,0.006459851273191617,0.9846040230523327
